Ký hiệu ngoại tệ,Tên ngoại tệ,Mua tiền mặt và Séc,Mua chuyển khoản,Bán,Bank Name,Date
USD,Dollar Mỹ,"25,180","25,180","25,502",BIDV,2024-11-14
USD(1-2-5),Dollar,"24,173",-,-,BIDV,2024-11-14
USD(10-20),Dollar,"24,173",-,-,BIDV,2024-11-14
GBP,Bảng Anh,"31,878","31,951","32,782",BIDV,2024-11-14
HKD,Dollar Hồng Kông,"3,204","3,211","3,305",BIDV,2024-11-14
CHF,Franc Thụy Sỹ,"28,339","28,367","29,115",BIDV,2024-11-14
JPY,Yên Nhật,160.12,160.37,167.1,BIDV,2024-11-14
THB,Baht Thái Lan,669.98,703.31,751.16,BIDV,2024-11-14
AUD,Dollar Australia,"16,377","16,402","16,793",BIDV,2024-11-14
CAD,Dollar Canada,"17,997","18,022","18,447",BIDV,2024-11-14
SGD,Dollar Singapore,"18,506","18,582","19,219",BIDV,2024-11-14
SEK,Krone Thụy Điển,-,"2,283","2,360",BIDV,2024-11-14
LAK,Kip Lào,-,0.88,1.22,BIDV,2024-11-14
DKK,Krone Đan Mạch,-,"3,546","3,664",BIDV,2024-11-14
NOK,Krone Na Uy,-,"2,246","2,322",BIDV,2024-11-14
CNY,Nhân Dân Tệ,-,"3,472","3,572",BIDV,2024-11-14
RUB,Rub Nga,-,-,-,BIDV,2024-11-14
NZD,Dollar New Zealand,"14,738","14,830","15,245",BIDV,2024-11-14
KRW,Won Hàn Quốc,15.8,17.46,18.64,BIDV,2024-11-14
EUR,Euro,"26,446","26,489","27,618",BIDV,2024-11-14
TWD,Dollar Đài Loan,704.67,-,851.57,BIDV,2024-11-14
MYR,Ringgit Malaysia,"5,313.57",-,"5,988.26",BIDV,2024-11-14
SAR,Saudi Arabian Riyals,-,"6,634.91","6,976.03",BIDV,2024-11-14
KWD,Kuwait Dinar,-,"80,234","85,240",BIDV,2024-11-14
XAU,Vàng SJC 1 lượng (đơn vị: 1000đ),-,-,"84,000",BIDV,2024-11-14
