Currency Code,Currency Name,Buy,Transfer,Sell,Date
USD,US DOLLAR,"25,146.00","25,176.00","25,479.00",05/12/2024
EUR,EURO,"26,016.47","26,279.26","27,442.98",05/12/2024
GBP,UK POUND STERLING,"31,414.30","31,731.61","32,749.59",05/12/2024
JPY,JAPANESE YEN,163.16,164.81,172.65,05/12/2024
AUD,AUSTRALIAN DOLLAR,"15,894.00","16,054.55","16,569.59",05/12/2024
SGD,SINGAPORE DOLLAR,"18,432.52","18,618.71","19,216.01",05/12/2024
THB,THAI BAHT,655.51,728.34,756.24,05/12/2024
CAD,CANADIAN DOLLAR,"17,591.58","17,769.28","18,339.33",05/12/2024
CHF,SWISS FRANC,"28,009.59","28,292.52","29,200.17",05/12/2024
HKD,HONG KONG DOLLAR,"3,180.55","3,212.68","3,315.75",05/12/2024
CNY,CHINESE YUAN,"3,408.26","3,442.69","3,553.13",05/12/2024
DKK,DANISH KRONE,-,"3,514.81","3,649.40",05/12/2024
INR,INDIAN RUPEE,-,298.96,310.91,05/12/2024
KRW,KOREAN WON,15.53,17.25,18.72,05/12/2024
KWD,KUWAITI DINAR,-,"82,398.64","85,692.81",05/12/2024
MYR,MALAYSIAN RINGGIT,-,"5,673.68","5,797.42",05/12/2024
NOK,NORWEGIAN KRONE,-,"2,252.10","2,347.72",05/12/2024
RUB,RUSSIAN RUBLE,-,230.21,254.85,05/12/2024
SAR,SAUDI ARABIAN RIYAL,-,"6,739.75","6,987.48",05/12/2024
SEK,SWEDISH KRONA,-,"2,277.60","2,374.30",05/12/2024
